epoch;buy/sell;type;price
16;buy;dairy;35
21;buy;dairy;31
22;buy;dairy;31
28;buy;dairy;32
40;buy;dairy;33
65;buy;dairy;23
68;buy;dairy;21
70;buy;dairy;21
71;buy;dairy;21
88;buy;dairy;23
107;buy;dairy;21
108;buy;dairy;20
121;buy;dairy;22
133;buy;dairy;23
147;buy;dairy;21
155;buy;dairy;20
161;buy;dairy;20
171;buy;dairy;21
179;buy;dairy;22
179;buy;dairy;22
207;buy;dairy;21
212;buy;dairy;21
220;buy;dairy;22
233;buy;dairy;23
233;buy;dairy;23
260;buy;dairy;19
263;buy;dairy;19
264;buy;dairy;19
282;buy;dairy;21
313;buy;dairy;3
315;buy;dairy;2
324;buy;dairy;1
329;buy;dairy;2
338;buy;dairy;3
362;buy;dairy;1
364;buy;dairy;1
374;buy;dairy;1
375;buy;dairy;1
388;buy;dairy;3
389;buy;dairy;3
413;buy;dairy;3
419;buy;dairy;3
427;buy;dairy;4
441;buy;dairy;5
451;buy;dairy;5
466;buy;dairy;1
467;buy;dairy;1
478;buy;dairy;3
488;buy;dairy;4
496;buy;dairy;5
518;buy;dairy;1
522;buy;dairy;1
529;buy;dairy;2
535;buy;dairy;3
548;buy;dairy;4
549;buy;dairy;4
567;buy;dairy;6
576;buy;dairy;7
588;buy;dairy;8
597;buy;dairy;9
615;buy;dairy;6
618;buy;dairy;6
630;buy;dairy;7
638;buy;dairy;8
650;buy;dairy;9
650;buy;dairy;9
676;buy;dairy;6
677;buy;dairy;6
685;buy;dairy;7
702;buy;dairy;7
707;buy;dairy;7
722;buy;dairy;7
722;buy;dairy;7
738;buy;dairy;8
756;buy;dairy;4
756;buy;dairy;4
769;buy;dairy;5
780;buy;dairy;6
785;buy;dairy;7
796;buy;dairy;8
814;buy;dairy;6
817;buy;dairy;6
818;buy;dairy;6
836;buy;dairy;8
836;buy;dairy;8
862;buy;dairy;9
868;buy;dairy;9
877;buy;dairy;10
890;buy;dairy;11
891;buy;dairy;11
915;buy;dairy;9
918;buy;dairy;9
926;buy;dairy;10
936;buy;dairy;11
952;buy;dairy;11
957;buy;dairy;11
967;buy;dairy;12
981;buy;dairy;13
989;buy;dairy;13
1000;buy;dairy;14
1000;buy;dairy;14
1020;buy;dairy;16
1027;buy;dairy;17
1041;buy;dairy;18
1048;buy;dairy;18
1048;buy;dairy;18
1065;buy;dairy;20
1076;buy;dairy;21
1086;buy;dairy;22
1098;buy;dairy;23
1106;buy;dairy;24
1117;buy;dairy;25
1129;buy;dairy;26
1136;buy;dairy;27
1148;buy;dairy;28
1157;buy;dairy;29
1168;buy;dairy;30
1179;buy;dairy;31
1186;buy;dairy;32
1197;buy;dairy;33
1207;buy;dairy;34
1218;buy;dairy;35
1226;buy;dairy;36
1237;buy;dairy;37
1248;buy;dairy;38
1257;buy;dairy;39
1275;buy;dairy;36
1277;buy;dairy;36
1278;buy;dairy;36
1298;buy;dairy;38
1314;buy;dairy;36
1314;buy;dairy;36
1315;buy;dairy;36
1338;buy;dairy;38
1350;buy;dairy;39
1356;buy;dairy;40
1375;buy;dairy;37
1378;buy;dairy;37
1378;buy;dairy;37
1397;buy;dairy;39
1410;buy;dairy;40
1419;buy;dairy;41
1427;buy;dairy;42
1436;buy;dairy;43
1446;buy;dairy;44
1457;buy;dairy;45
1467;buy;dairy;46
1477;buy;dairy;47
1486;buy;dairy;48
1486;buy;dairy;48
1506;buy;dairy;50
1518;buy;dairy;51
1536;buy;dairy;47
1539;buy;dairy;47
1555;buy;dairy;44
1555;buy;dairy;44
1565;buy;dairy;45
1577;buy;dairy;46
1587;buy;dairy;47
1598;buy;dairy;48
1598;buy;dairy;48
1616;buy;dairy;50
1636;buy;dairy;46
1648;buy;dairy;39
1654;buy;dairy;36
1654;buy;dairy;36
1666;buy;dairy;37
1666;buy;dairy;37
1699;buy;dairy;31
1701;buy;dairy;31
1713;buy;dairy;29
1715;buy;dairy;29
1726;buy;dairy;30
1727;buy;dairy;30
1727;buy;dairy;30
1759;buy;dairy;41
1770;buy;dairy;42
1780;buy;dairy;43
1781;buy;dairy;43
1803;buy;dairy;43
1804;buy;dairy;42
1818;buy;dairy;44
1829;buy;dairy;45
